 Procedimentos hospitalares do SUS - por local de internação - Brasil
Taxa mortalidade por Unidade da Federação e Ano/mês atendimento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"Sergipe";...;...;...;...;...;...;...;...;32,43;17,36;12,72;10,76;7,52;5,60;5,23;5,54;4,99;5,18;5,61;5,24;5,29;5,21;4,76;4,45;5,83;5,18;5,32;5,11;6,04;7,21;8,86;9,23;6,80;6,72;6,47;5,97;5,92;5,34;3,23;6,03;5,94
"Bahia";...;40,00;25,00;...;100,00;...;-;35,29;9,77;7,57;4,88;5,19;4,67;3,71;3,69;3,68;3,42;3,65;3,95;4,02;3,86;3,75;3,69;3,73;4,02;3,95;3,91;4,10;5,32;5,97;6,59;6,13;5,57;4,79;4,60;4,60;5,35;5,26;5,25;4,82;4,40
"Minas Gerais";-;-;-;...;200,00;300,00;200,00;33,33;12,90;7,55;5,47;5,61;5,82;4,60;4,33;4,53;4,39;4,55;4,87;5,03;4,95;4,65;4,49;4,48;4,72;4,69;4,52;4,91;5,47;5,74;6,19;6,70;6,81;6,20;5,95;5,32;6,12;6,99;6,54;7,63;5,29
"Espírito Santo";...;...;...;...;...;...;...;...;50,00;3,92;4,21;4,51;5,41;3,80;3,43;3,76;3,45;3,78;3,79;3,79;4,02;3,59;3,73;3,95;3,86;4,11;3,36;3,86;5,31;7,28;7,77;6,92;6,38;5,08;5,29;5,64;6,76;5,74;5,24;5,57;4,69
"Rio de Janeiro";...;100,00;200,00;250,00;100,00;100,00;37,50;37,04;17,80;12,12;7,87;8,07;8,58;7,03;6,48;6,65;6,88;6,98;7,10;6,97;6,89;6,62;6,62;6,62;6,99;6,95;6,72;7,22;11,68;13,05;10,14;9,36;9,17;8,60;8,33;9,31;10,64;9,04;8,07;9,15;8,02
"São Paulo";...;-;66,67;...;100,00;...;73,33;7,45;9,72;11,08;7,35;6,99;7,56;5,10;4,60;4,81;4,71;4,97;5,52;5,58;5,12;5,03;4,84;4,73;5,35;5,04;4,90;5,64;8,10;8,45;8,12;7,98;7,45;6,50;6,23;5,91;6,74;7,19;6,89;8,47;5,97
"Paraná";...;...;...;...;...;-;50,00;12,28;9,43;7,85;5,98;5,64;5,36;3,90;3,40;3,74;3,57;3,65;4,10;3,92;4,09;3,91;3,82;3,87;4,19;3,91;3,78;4,16;5,02;5,15;5,85;6,57;6,33;5,61;5,02;5,57;6,73;6,23;6,13;8,99;4,66
"Santa Catarina";...;...;-;...;...;100,00;...;28,57;8,33;6,36;3,81;5,39;5,68;4,17;4,07;4,10;3,81;4,00;4,29;4,58;4,41;4,24;4,02;3,86;4,35;4,13;4,14;4,44;5,49;5,10;5,46;6,95;7,06;5,30;4,76;5,86;6,74;5,75;6,16;8,85;4,88
"Rio Grande do Sul";...;...;...;-;...;...;12,50;2,08;6,62;6,43;6,35;6,01;6,33;5,17;4,77;4,85;4,68;4,93;5,21;6,03;5,83;5,45;4,93;4,95;5,16;4,89;4,99;5,10;6,23;6,36;6,66;8,13;7,62;6,93;6,21;6,54;7,68;6,88;7,89;12,68;5,96
"Mato Grosso do Sul";...;...;-;...;...;...;...;20,00;11,76;8,12;7,65;5,24;4,70;3,69;3,64;3,69;3,58;3,74;4,25;3,98;4,20;4,22;3,66;3,64;3,82;3,94;3,65;4,04;4,71;4,66;5,10;6,65;8,00;6,89;5,88;4,70;6,38;5,36;4,16;4,00;4,58
"Mato Grosso";...;-;...;...;...;...;-;-;14,29;5,15;4,03;5,05;6,13;3,58;3,44;3,84;3,48;3,77;3,86;3,64;3,71;3,71;3,56;3,38;3,66;3,72;3,60;3,56;3,48;3,88;6,73;7,52;5,64;4,71;4,94;4,02;4,38;4,61;4,76;8,00;4,25
"Goiás";...;...;...;...;...;...;-;10,71;12,20;8,82;7,74;6,20;5,20;3,57;3,33;3,44;3,43;3,61;3,76;3,87;3,79;3,74;3,49;3,72;3,80;3,92;3,79;3,79;4,64;4,83;5,67;7,32;6,90;6,21;5,39;4,40;4,37;4,99;5,79;8,34;4,48
"Distrito Federal";...;...;...;...;-;...;100,00;8,33;19,05;6,23;2,50;4,39;3,78;2,99;2,54;2,74;2,68;3,12;3,19;3,17;2,96;3,12;3,03;2,75;3,03;2,92;2,71;2,99;2,86;3,64;5,10;5,99;5,08;4,07;3,78;3,56;3,90;3,46;3,65;5,90;3,47
"Total";800,00;20,83;33,33;300,00;100,00;160,00;43,08;14,46;10,54;8,12;5,99;5,76;5,81;4,35;4,06;4,20;4,12;4,27;4,54;4,59;4,45;4,30;4,16;4,17;4,49;4,37;4,27;4,66;6,47;7,33;6,93;6,85;6,40;5,67;5,36;5,36;6,20;6,35;6,14;7,61;5,12
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
