 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";9916;12779;14022;14067;15292;14233;14660;13871;13896;13089;13543;11719;11436;12102;13708;8833;15359;14699;14831;15195;14905;15189;15229;14667;14484;13434;15723;15279;15695;14324;14253;14297;14405;13785;13652;13430;13830;13984;14743;14867;13986;14296;15067;13883;14483;13700;13596;14519;13305;12666;14869;14091;13909;13540;14283;14293;13615;13091;13392;11879;11794;11440;13709;14306;14160;14202;14003;13985;14835;13995;13901;12490;12665;12834;13537;13204;14262;13442;13925;12588;12992;13596;13319;11982;12405;11611;13558;13221;13878;13617;14587;13936;13942;14254;13268;11972;12576;12272;13967;14142;14110;14101;13579;12672;11152;13624;12607;12968;12623;12189;14066;13932;14618;13466;14468;14073;13539;13238;12979;12602;13113;12871;14246;15363;15751;14586;15444;14917;14562;14463;14480;12571;14768;14121;15326;14893;16657;15351;15815;16478;15204;15080;14903;14378;14851;14853;14584;12468;11958;12712;13575;13752;13736;14742;14084;12900;14414;12493;11183;2192512
"25 Paraíba";17126;17409;19013;19821;19289;18980;19467;19246;18729;19070;17795;17529;17310;17186;19556;19662;20977;19690;20004;20037;19903;19361;20169;19287;19331;18608;20110;19642;20799;19700;20828;20512;19609;19237;18932;18300;17544;18145;19464;18218;17723;17186;18223;17402;17527;17184;17009;16744;15662;15959;17889;17208;17618;16473;16823;16659;16240;16034;16098;14762;15207;14555;16418;17321;17699;17724;17572;17292;16641;15983;15809;15429;15605;14820;15478;16076;16001;15776;15762;16847;16704;16947;15813;15255;14622;13936;15665;15395;15493;15472;15880;15650;15259;15094;13781;13619;13299;14728;15355;15208;15516;15381;14758;15442;14559;14688;13715;13716;14424;13586;15265;15431;16394;15487;14994;15790;15604;15772;15787;14998;14188;13753;15614;15569;16364;15653;16113;16558;15125;15186;14915;14273;14820;13987;15706;15616;17292;15994;16372;16390;16214;15511;15536;14808;13878;14020;13882;11525;11266;12276;13304;13633;13269;13658;13416;12364;12870;13691;13077;2598201
"26 Pernambuco";25390;35496;40756;45354;44463;43083;42625;45843;44530;40129;40430;41718;36656;38501;40282;42457;43116;42510;42447;42826;42978;44104;42527;40637;40784;37722;41318;43402;43398;44235;44013;44953;42600;45618;45639;44085;42424;43343;41853;44816;44598;43983;44872;44164;44246;46490;43264;43791;41786;40315;42317;46727;45789;46513;44555;45846;43586;42185;44818;42250;40342;40137;44533;44474;46046;46493;46458;47549;45107;46154;43935;44488;41633;41604;42131;44518;46826;45560;46299;46824;48144;47375;46241;43461;43257;40712;45849;45756;46488;46072;44995;45694;43787;43673;44002;41863;43224;42232;45104;44524;46178;45543;46638;47381;46186;44467;41984;42186;42196;42281;46453;45938;49821;48483;48552;48553;47115;46511;45447;45467;44387;42095;47835;47612;49833;47745;47708;48823;46265;47700;45758;43465;45885;43886;46859;48739;51072;48590;50198;50151;48414;50349;48685;46229;47887;43808;44264;32493;33544;35964;41522;41433;40728;41202;42663;40396;41273;38891;40882;7007333
"27 Alagoas";12168;14315;13861;15975;15549;16184;15816;15224;15161;15800;14476;13500;13206;12943;15160;15809;15930;15097;15243;14344;15184;15480;14542;14526;14937;13338;15435;15732;15364;14782;15229;14903;15730;15027;14947;14220;13991;14002;13821;15314;15897;15016;15344;15503;15616;15130;14536;15166;14367;13758;13719;13400;14574;14632;14567;13893;14009;13885;12235;12895;12795;12798;13035;14317;14845;14286;15276;14228;13903;15019;13127;13235;13729;12186;11980;12308;13246;12869;13706;13875;13171;13643;13635;12657;12636;12804;13367;13137;14593;13845;15931;14843;14475;13395;13803;13514;13352;13485;14145;13940;14781;14816;15192;14897;14492;13823;13099;12479;13317;12805;13924;14158;14971;15021;15444;15283;14637;14821;13879;13557;13855;13704;14252;14713;15118;13959;14975;14484;14857;14762;14205;13443;13509;13327;13851;13820;14553;14794;15465;14874;14573;14989;14274;13631;14031;12991;13395;11327;9794;8974;10855;12098;11795;13039;13527;13206;12257;13475;12803;2238491
"28 Sergipe";5832;7015;8804;9035;8635;9356;10002;8858;9323;8367;7603;6760;6561;6002;7414;8291;8976;8024;7875;7527;8480;7422;8240;7122;7417;6378;7374;8512;8985;7102;8210;8380;8254;7673;8293;6997;7896;6994;7770;7339;7816;7386;7848;7670;7957;7652;7255;7158;7214;6952;7755;8281;8025;8843;7708;7994;7458;7753;7009;6613;6732;7086;8314;8045;7660;7333;8181;7577;7310;7010;7050;6773;7351;6909;7342;7107;7732;7540;7263;7307;7881;7681;7470;6986;7220;7018;8211;8253;8612;8027;8264;8363;8206;8188;7816;6970;7148;6980;8032;8038;8604;7964;8624;12430;6370;6288;6903;6953;7075;6820;6972;7709;8596;7594;7815;8492;8382;8153;7356;6908;7412;6987;7280;7993;8389;7925;8572;8557;8014;8503;7518;7109;7888;7229;7294;8329;8944;7817;8032;7835;7857;7982;8005;7143;8183;7962;7965;6639;6387;5981;6638;7082;6822;7676;7833;6941;7475;8069;7708;1224414
"29 Bahia";41659;51637;59728;74525;79931;85057;79247;78254;76724;74851;63977;64117;59066;67772;76268;75434;73385;74149;74643;75731;77724;74097;75297;72183;72140;69770;78278;76347;77704;71710;74721;77307;74047;74413;73161;70517;71598;68869;75969;76273;67432;73936;75907;73703;74987;72251;72917;68671;67739;67731;75088;72780;74355;71983;73232;73698;70690;70592;66796;59695;61952;59061;64984;68418;68149;68799;72446;72328;68802;73415;65395;63250;66548;64596;64876;67219;68013;65547;71646;72383;73190;72855;66506;66128;67933;62063;71482;68380;70246;67645;71433;72457;71939;72074;70501;64224;64120;65847;69437;71039;69228;66659;67749;70917;68741;67285;60662;58315;62564;58783;66279;63849;68277;68756;65911;66587;69360;72332;68141;62557;66969;61818;66504;70190;70984;67633;70644;71435;69110;71748;69032;63120;66492;63225;68055;71040;73056;70093;74281;75517;72442;72753;69743;65872;66185;64972;65715;54100;51701;51139;54247;54967;56366;61241;60955;59114;55463;54972;58199;10893833
"31 Minas Gerais";67509;89738;96161;93949;96064;106686;98481;98257;97953;99139;92486;88366;89661;88228;95288;94012;97785;93841;96457;95970;93654;94019;93239;88630;92208;87723;96678;95532;97640;94005;95503;96049;93876;93454;93686;93491;93602;90607;96079;96643;97470;95459;100353;98657;96408;94486;95190;95184;94668;89854;100046;94604;100406;99009;99735;98984;97817;98398;92017;91469;95589;89493;97607;99078;100410;99152;101218;101578;100111;101775;99410;95185;100214;97684;100698;98418;107882;102148;104964;103446;104688;104172;103138;96177;97154;94765;102475;102641;105456;103196;102518;98726;101857;99644;97953;96198;96476;95073;101354;99630;101508;103157;100836;101037;98332;95443;92914;97222;95367;90629;100452;95570;103270;100525;102210;102899;99491;99252;99491;98755;99108;94610;105344;105513;105513;104455;106719;105993;104207;104381;100308;100591;102961;101140;105009;108390;114829;107579;112079;110444;106238;110323;103008;101580;106343;100741;96006;82408;84302;82822;89609;90306;92662;95140;94602;91661;90748;90551;93083;15561580
"32 Espírito Santo";9502;12962;15098;15108;13899;15902;16705;15869;16617;16591;15678;14145;13883;14803;16113;16696;17488;16443;16467;17462;16628;16650;15761;14804;16109;14741;15731;15037;16543;16116;16436;16125;16952;16990;16784;16860;16966;16037;17964;17273;18587;17722;18027;19149;17308;17304;17695;17402;17169;16652;18241;18241;17791;17779;17839;18352;17953;17820;17751;17288;17511;16426;17079;18132;18389;17923;17671;17783;17558;18500;17849;16893;17956;17279;17061;17196;19094;18474;19371;19643;18845;19642;19100;17485;17934;17452;19133;18997;18953;20209;20664;19759;18509;19062;19641;17578;18851;17900;18875;19139;19694;20299;19845;20084;19164;19335;19282;19927;19306;18426;20687;19785;20541;20731;20335;20332;19486;19894;21455;20115;21094;19802;19599;21100;21471;20343;20408;20517;19575;20143;19328;18887;19382;19010;19289;19520;20534;20038;22164;21816;21348;21970;20118;21112;21505;20213;20550;18792;18685;16484;17393;16882;17759;18806;19089;19233;19687;18851;20065;2896809
"33 Rio de Janeiro";34859;37109;57367;51389;56472;59898;57557;58857;58606;56302;49743;51433;48788;47877;52967;52141;56148;53924;57288;55717;55279;53431;54201;51699;51612;51700;57183;56016;58960;56008;58913;59001;55198;54520;53828;53532;52913;53990;56447;57134;59386;56090;55689;54006;53544;53514;52473;52534;48595;46088;56194;53288;56179;56837;56622;56491;52342;52938;48279;45891;49306;46186;50741;52782;54285;52128;54859;55234;53443;53063;50052;46720;51352;50980;49720;50914;52624;49970;56430;56155;56781;57273;53466;49992;53605;51569;58551;58667;58265;58347;61067;58391;56366;57012;54117;52525;53545;51661;57705;55549;53917;54350;54655;55971;52422;49890;50081;49355;49083;48945;54055;51037;57397;56298;58236;59611;56288;57237;54670;53294;56146;52429;58584;60348;61332;59984;62421;61022;58775;59387;57284;52664;60470;56642;57486;58096;64714;61067;64299;64627;62705;63322;60465;56886;60098;55735;54244;46540;51363;51922;56539;56125;56059;56738;55323;56003;56574;51919;58362;8705876
"35 São Paulo";125361;155799;169738;178746;200439;193555;202386;194738;197277;194543;174370;175203;162995;168100;194928;185550;197319;194082;198671;198792;199606;196425;194467;182073;187926;179027;201359;202648;200028;195168;196112;198949;201568;192603;197354;199177;188683;190234;201161;199692;205824;192011;206883;197128;199140;196792;194971;190713;182065;185523;203677;198396;205713;194387;199726;205211;194859;195868;189997;177796;189310;178591;188606;204782;202426;195440;198467;206152;199062;205588;190419;178982;194624;188189;192369;193808;207902;196392;207320;208291;201081;203383;195231;183955;191105;186123;204847;205041;206488;203839;205468;202136;197802;197700;189567;191255;185384;189053;205676;204390;206072;211383;206492;205783;199351;194789;192870;192043;187520;181682;211200;193917;214625;204551;204983;213206;202030;204734;200649;198083;198912;192503;211205;210204;212696;205117;207804;212547;203113;212083;201634;197493;205741;197814;211776;215876;221498;210518;215641;221298;211684;220411;206022;198920;210257;199907;202819;152829;157924;166893;181563;179353;185941;190986;190114;183014;190050;184880;185488;31150267
"41 Paraná";51180;61926;63178;60734;60660;63040;62952;61885;62168;63107;58092;60592;61571;60535;64642;64514;65056;63470;65637;64540;64183;64462;62807;63107;60926;60085;65432;65822;66503;65982;65939;66679;66009;65749;65832;63829;64757;62518;63744;65596;63828;64237;65076;62332;61878;63213;62882;62921;62304;60117;63554;63475;66386;65221;65079;66386;65393;64177;62501;60443;60739;59230;62076;63976;64090;63075;63794;63838;63782;63065;63021;59069;60721;61188;60529;60595;63323;61993;64550;65531;65721;64423;63614;59742;60022;59327;62772;63766;65188;64628;65376;64519;64006;63221;63977;62151;62019;61354;66121;66829;69078;68021;69019;68101;67269;67173;65560;63368;62627;64028;68367;67529;70716;68945;70889;72042;70931;71288;71141;70396;71083;67857;71795;73214;73085;72760;74451;74103;73357;74028;74335;69396;72424;70915;72807;72330;75849;73282;75158;73834;74501;74980;74003;69531;72379;73852;67487;55136;59843;51876;55264;58442;59155;63596;62995;56858;58777;63223;59861;10352114
"42 Santa Catarina";23728;30418;30982;30729;31003;33146;32894;32772;32280;33484;28297;30016;31775;29396;33671;32252;33055;32362;34494;33484;34500;33784;33206;29442;31924;28873;33293;32592;31980;31584;32339;33591;32410;32210;32586;33701;30497;31899;32726;32267;35695;33327;34583;32887;33674;35016;33983;32624;31584;31817;34909;32429;36019;34461;34904;36399;33086;35032;33494;30147;32580;31105;32866;35000;36053;34766;36597;35711;35302;35904;36112;33556;34980;35280;34628;35490;37741;36547;37796;40213;39752;39086;36941;33329;35389;35056;37152;37387;37304;38423;39104;40268;39418;40514;37113;35824;36583;36799;37431;39752;40500;41182;39806;40671;40220;39417;38545;35992;36997;34948;39892;36675;41497;40889;40980;41623;39679;39517;39053;38118;35849;37721;41757;41428;41710;42888;42849;43170;41185;41816;39606;38206;40755;38940;39919;41215;44436;42921;45213;44708;44074;45214;42794;40567;39972;41665;39419;31493;31181;32801;32084;32390;34272;35430;36663;35266;36345;35925;35620;5728232
"43 Rio Grande do Sul";41729;64477;61229;64063;56673;58261;64280;63316;61107;61707;57058;58889;54306;55841;62681;62314;61609;61481;63836;64022;62577;62529;60772;59768;58617;56728;59983;60903;63330;59602;62898;62619;60015;60108;60172;60515;55178;52884;59029;55659;59587;64211;62466;58232;58449;58829;59804;55489;55064;56781;62421;57696;62115;64219;65470;65500;58579;58886;59931;52943;58700;54751;60933;62601;64131;60306;66233;65684;61639;64176;61937;60791;61550;59201;59671;61720;64350;63961;66777;65032;65181;67997;63987;60266;61052;58438;65779;65540;65400;66841;68238;66817;63098;62852;65211;61150;58139;60248;62169;62215;62887;63233;65230;66000;61559;65122;61982;62084;59465;54957;61218;60358;65904;64774;67203;65685;64721;63043;62900;60383;60163;56474;61995;62533;62498;62037;64053;64525;63580;62715;61241;59573;59533;59283;60253;62291;65673;65334;68165;68263;65798;68534;62678;61288;63760;61605;63508;50991;50177;50998;53202;52509;52539;59214;57284;55811;56731;54143;54463;9708322
