 Procedimentos hospitalares do SUS - por local de internação - Brasil
Taxa mortalidade por Unidade da Federação e Ano/mês processamento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"51 Mato Grosso";3,77;4,18;3,57;3,49;3,68;3,81;4,20;3,51;3,88;3,44;3,47;3,39;3,46;3,83;3,55;3,42;3,48;4,62;6,25;6,21;5,87;5,39;5,24;3,77;4,71;4,90;7,33;4,25
"52 Goiás";3,84;3,52;3,43;3,32;3,44;3,65;3,73;4,01;3,82;3,66;3,56;3,57;3,97;3,62;3,78;4,36;4,39;5,16;6,05;6,75;5,96;6,07;5,30;4,97;5,46;5,58;8,17;4,48
"53 Distrito Federal";3,11;2,70;2,67;2,74;2,77;3,22;2,96;3,41;2,78;2,63;2,88;2,84;3,38;2,86;3,09;3,34;3,23;4,47;5,33;5,95;4,33;3,97;3,83;3,45;3,69;3,64;5,23;3,47
"Total";4,50;4,17;4,19;4,12;4,21;4,40;4,55;4,49;4,43;4,25;4,17;4,28;4,47;4,30;4,47;5,30;6,36;6,85;6,88;6,63;6,06;5,72;5,49;5,67;6,33;6,32;8,02;5,12
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
